entry,accessPath,depth,isConstructor,isAsync,hasDocComment,snippets_native,snippets_docs,signature,implLength,implGroupSize
main,zod.z.ZodAny,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodAny.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodArray,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodArray.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodBase64,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodBase64.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodBase64URL,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodBase64URL.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodBigInt,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodBigInt.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodBigIntFormat,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodBigIntFormat.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodBoolean,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodBoolean.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCIDRv4,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCIDRv4.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCIDRv6,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCIDRv6.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCUID,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCUID.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCUID2,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCUID2.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCatch,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCatch.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCustom,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCustom.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodCustomStringFormat,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodCustomStringFormat.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodDate,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodDate.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodDefault,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodDefault.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodDiscriminatedUnion,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodDiscriminatedUnion.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodE164,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodE164.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodEmail,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodEmail.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodEmoji,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodEmoji.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodEnum,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodEnum.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodError,2,False,False,False,0,1,(def),280,160
main,zod.z.ZodError.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodFile,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodFile.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodGUID,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodGUID.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodIPv4,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodIPv4.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodIPv6,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodIPv6.init,3,False,False,False,0,0,"(inst, def)",568,160
main,zod.z.ZodISODate,2,False,False,False,0,0,(def),280,160
main,zod.z.ZodISODate.init,3,False,False,False,0,0,"(inst, def)",568,160
