api,stratum,inN60Sample,file,declLine,located,statements,covered,fraction
zod.z.iso.datetime,Q,False,v4/classic/iso.ts,23,fnMap,1,1,1.0000
zod.z.iso.date,Q,False,v4/classic/iso.ts,43,fnMap,1,0,0.0000
zod.z.iso.time,Q,True,v4/classic/iso.ts,65,fnMap,1,1,1.0000
zod.z.iso.duration,Q,True,v4/classic/iso.ts,88,fnMap,1,1,1.0000
zod.z.coerce.string,Q,False,v4/classic/coerce.ts,5,fnMap,1,0,0.0000
zod.z.coerce.number,Q,True,v4/classic/coerce.ts,10,fnMap,1,1,1.0000
zod.z.coerce.boolean,Q,True,v4/classic/coerce.ts,15,fnMap,1,0,0.0000
zod.z.coerce.bigint,Q,False,v4/classic/coerce.ts,20,fnMap,1,0,0.0000
zod.z.coerce.date,Q,False,v4/classic/coerce.ts,25,fnMap,1,0,0.0000
zod.z.stringbool,S,False,v4/classic/schemas.ts,2002,text (exported const),3,3,1.0000
zod.z.string,S,False,v4/classic/schemas.ts,371,fnMap,1,1,1.0000
zod.z.email,S,True,v4/classic/schemas.ts,396,fnMap,1,1,1.0000
zod.z.guid,S,True,v4/classic/schemas.ts,410,fnMap,1,1,1.0000
zod.z.uuid,S,True,v4/classic/schemas.ts,424,fnMap,1,1,1.0000
zod.z.uuidv4,S,False,v4/classic/schemas.ts,428,fnMap,1,0,0.0000
zod.z.uuidv6,S,True,v4/classic/schemas.ts,434,fnMap,1,1,1.0000
zod.z.uuidv7,S,True,v4/classic/schemas.ts,440,fnMap,1,1,1.0000
zod.z.url,S,False,v4/classic/schemas.ts,454,fnMap,1,0,0.0000
zod.z.emoji,S,False,v4/classic/schemas.ts,468,fnMap,1,0,0.0000
zod.z.nanoid,S,True,v4/classic/schemas.ts,482,fnMap,1,1,1.0000
zod.z.cuid,S,False,v4/classic/schemas.ts,496,fnMap,1,0,0.0000
zod.z.cuid2,S,True,v4/classic/schemas.ts,510,fnMap,1,1,1.0000
zod.z.ulid,S,True,v4/classic/schemas.ts,524,fnMap,1,1,1.0000
zod.z.xid,S,False,v4/classic/schemas.ts,538,fnMap,1,0,0.0000
zod.z.ksuid,S,True,v4/classic/schemas.ts,552,fnMap,1,0,0.0000
zod.z.ipv4,S,False,v4/classic/schemas.ts,580,fnMap,1,0,0.0000
zod.z.ipv6,S,False,v4/classic/schemas.ts,593,fnMap,1,0,0.0000
zod.z.cidrv4,S,True,v4/classic/schemas.ts,606,fnMap,1,1,1.0000
zod.z.cidrv6,S,True,v4/classic/schemas.ts,619,fnMap,1,1,1.0000
zod.z.base64,S,True,v4/classic/schemas.ts,632,fnMap,1,1,1.0000
zod.z.base64url,S,False,v4/classic/schemas.ts,648,fnMap,1,0,0.0000
zod.z.e164,S,False,v4/classic/schemas.ts,662,fnMap,1,0,0.0000
zod.z.jwt,S,False,v4/classic/schemas.ts,676,fnMap,1,0,0.0000
zod.z.stringFormat,C,False,v4/classic/schemas.ts,694,fnMap,1,0,0.0000
zod.z.number,S,True,v4/classic/schemas.ts,771,fnMap,1,1,1.0000
zod.z.int,S,False,v4/classic/schemas.ts,789,fnMap,1,1,1.0000
zod.z.float32,S,False,v4/classic/schemas.ts,795,fnMap,1,0,0.0000
zod.z.float64,S,False,v4/classic/schemas.ts,801,fnMap,1,0,0.0000
zod.z.int32,S,False,v4/classic/schemas.ts,807,fnMap,1,0,0.0000
zod.z.uint32,S,True,v4/classic/schemas.ts,813,fnMap,1,1,1.0000
zod.z.boolean,S,True,v4/classic/schemas.ts,825,fnMap,1,1,1.0000
zod.z.bigint,S,False,v4/classic/schemas.ts,875,fnMap,1,1,1.0000
zod.z.int64,S,True,v4/classic/schemas.ts,893,fnMap,1,1,1.0000
