Warning: --strictResponses has no effect when not using --responses
Using openai/gpt-oss-120b at https://openrouter.ai/api/v1/chat/completions with 3 attempts and NoRateLimiter
Running experiment for zod
Loading API from /work/zod/experiments/testpilot-2026-09/results/population-main.json
Extracting snippets
Generating tests
test_0.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): PASSED
test_1.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): PASSED
test_2.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): FAILED
(node:9) [DEP0147] DeprecationWarning: In future versions of Node.js, fs.rmdir(path, { recursive: true }) will be removed. Use fs.rm(path, { recursive: true }) instead
(Use `node --trace-deprecation ...` to show where the warning was created)
test_3.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): FAILED
test_4.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): FAILED
test_5.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): FAILED
test_6.js (for zod.z.iso.date at temperature 0, 3 snippets available): FAILED
test_7.js (for zod.z.iso.date at temperature 0, 3 snippets available): PASSED
test_8.js (for zod.z.iso.date at temperature 0, 3 snippets available): FAILED
test_9.js (for zod.z.iso.date at temperature 0, 3 snippets available): PASSED
test_10.js (for zod.z.iso.date at temperature 0, 3 snippets available): PASSED
test_11.js (for zod.z.iso.date at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorZhXqPm/report.json'
test_12.js (for zod.z.iso.date at temperature 0, 3 snippets available): FAILED
test_13.js (for zod.z.iso.time at temperature 0, 3 snippets available): PASSED
test_14.js (for zod.z.iso.time at temperature 0, 3 snippets available): FAILED
test_15.js (for zod.z.iso.time at temperature 0, 3 snippets available): FAILED
test_16.js (for zod.z.iso.time at temperature 0, 3 snippets available): PASSED
test_17.js (for zod.z.iso.time at temperature 0, 3 snippets available): PASSED
test_18.js (for zod.z.iso.duration at temperature 0, 3 snippets available): PASSED
test_19.js (for zod.z.iso.duration at temperature 0, 3 snippets available): FAILED
test_20.js (for zod.z.iso.duration at temperature 0, 3 snippets available): PASSED
test_21.js (for zod.z.iso.duration at temperature 0, 3 snippets available): FAILED
test_22.js (for zod.z.iso.duration at temperature 0, 3 snippets available): PASSED
test_23.js (for zod.z.iso.duration at temperature 0, 3 snippets available): FAILED
test_24.js (for zod.z.iso.duration at temperature 0, 3 snippets available): FAILED
test_25.js (for zod.z.coerce.string at temperature 0, 3 snippets available): FAILED
test_26.js (for zod.z.coerce.string at temperature 0, 3 snippets available): FAILED
test_27.js (for zod.z.coerce.string at temperature 0, 3 snippets available): PASSED
test_28.js (for zod.z.coerce.string at temperature 0, 3 snippets available): PASSED
test_29.js (for zod.z.coerce.string at temperature 0, 3 snippets available): FAILED
test_30.js (for zod.z.coerce.string at temperature 0, 3 snippets available): FAILED
test_31.js (for zod.z.coerce.string at temperature 0, 3 snippets available): PASSED
test_32.js (for zod.z.coerce.number at temperature 0, 3 snippets available): FAILED
test_33.js (for zod.z.coerce.number at temperature 0, 3 snippets available): PASSED
test_34.js (for zod.z.coerce.number at temperature 0, 3 snippets available): PASSED
test_35.js (for zod.z.coerce.number at temperature 0, 3 snippets available): FAILED
test_36.js (for zod.z.coerce.number at temperature 0, 3 snippets available): FAILED
test_37.js (for zod.z.coerce.number at temperature 0, 3 snippets available): FAILED
test_38.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): FAILED
test_39.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorxEds7z/report.json'
test_40.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): FAILED
test_41.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): FAILED
test_42.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): FAILED
test_43.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): PASSED
test_44.js (for zod.z.coerce.boolean at temperature 0, 3 snippets available): PASSED
