testName,api,stratum,status@v4.0.5,status@v4.1.0,status@v4.2.0,status@v4.3.0,status@v4.4.0,status@v4.5.0,status@v4.6.0,first_break,err_at_first_break
test_1.js,zod.z.discriminatedUnion,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_5.js,zod.z.discriminatedUnion,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_19.js,zod.z.file,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_24.js,zod.z.nullish,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_25.js,zod.z.nullish,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_26.js,zod.z.nullish,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_27.js,zod.z.nullish,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_28.js,zod.z.readonly,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_29.js,zod.z.readonly,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_37.js,zod.z.map,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_39.js,zod.z.map,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_40.js,zod.z.cidrv4,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_41.js,zod.z.cidrv4,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_42.js,zod.z.cidrv4,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_43.js,zod.z.cidrv4,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_44.js,zod.z.cidrv6,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_54.js,zod.z.strictObject,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_56.js,zod.z.strictObject,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_58.js,zod.z.date,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_61.js,zod.z.date,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_64.js,zod.z.base64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_65.js,zod.z.base64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_66.js,zod.z.base64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_67.js,zod.z.base64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_68.js,zod.z.tuple,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_75.js,zod.z.guid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_76.js,zod.z.guid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_77.js,zod.z.guid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_83.js,zod.z.nanoid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_85.js,zod.z.nanoid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_86.js,zod.z.uuidv6,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_87.js,zod.z.uuidv6,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_89.js,zod.z.uuidv6,S,pass,pass,pass,pass,pass,pass,unavailable,,
