testName,api,stratum,status@v4.0.5,status@v4.1.0,status@v4.2.0,status@v4.3.0,status@v4.4.0,status@v4.5.0,status@v4.6.0,first_break,err_at_first_break
gen-n124-run2/test_0.js,zod.z.iso.datetime,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_1.js,zod.z.iso.datetime,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_7.js,zod.z.iso.date,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_9.js,zod.z.iso.date,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_10.js,zod.z.iso.date,Q,pass,pass,pass,pass,pass,pass,fail,v4.6.0,Result should be a Date object
gen-n124-run2/test_13.js,zod.z.iso.time,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_16.js,zod.z.iso.time,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_17.js,zod.z.iso.time,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_18.js,zod.z.iso.duration,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_20.js,zod.z.iso.duration,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_22.js,zod.z.iso.duration,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_27.js,zod.z.coerce.string,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_28.js,zod.z.coerce.string,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_31.js,zod.z.coerce.string,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_33.js,zod.z.coerce.number,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_34.js,zod.z.coerce.number,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_43.js,zod.z.coerce.boolean,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_44.js,zod.z.coerce.boolean,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_45.js,zod.z.coerce.bigint,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_47.js,zod.z.coerce.bigint,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_48.js,zod.z.coerce.bigint,Q,pass,pass,pass,pass,pass,pass,pass,,
gen-n124-run2/test_50.js,zod.z.coerce.bigint,Q,pass,pass,pass,pass,pass,pass,pass,,
