Function,Dev files,LLM baseline,Dev baseline,v4.1.0 LLM survivors,v4.1.0 dev passed,v4.1.0 dev skipped,v4.2.0 LLM survivors,v4.2.0 dev passed,v4.2.0 dev skipped,v4.3.0 LLM survivors,v4.3.0 dev passed,v4.3.0 dev skipped,v4.4.0 LLM survivors,v4.4.0 dev passed,v4.4.0 dev skipped,v4.5.0 LLM survivors,v4.5.0 dev passed,v4.5.0 dev skipped,v4.6.0 LLM survivors,v4.6.0 dev passed,v4.6.0 dev skipped
zod.z.iso.datetime,classic/tests/datetime.test.ts,2,14,2,14,0,2,14,0,2,14,0,2,14,0,2,13,0,2,13,0
zod.z.iso.date,classic/tests/date.test.ts,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,2,3,0
zod.z.iso.time,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.iso.duration,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.coerce.string,classic/tests/string.test.ts; mini/tests/string.test.ts,3,60,3,59,0,3,59,0,3,59,0,3,58,0,3,57,0,3,57,0
zod.z.coerce.number,classic/tests/number.test.ts; mini/tests/number.test.ts,2,34,2,34,0,2,34,0,2,34,0,2,34,0,2,32,0,2,32,0
zod.z.coerce.boolean,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.coerce.bigint,classic/tests/bigint.test.ts,4,3,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0
zod.z.coerce.date,classic/tests/date.test.ts,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
zod.z.stringbool,classic/tests/stringbool.test.ts,3,4,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0
zod.z.string,classic/tests/string.test.ts; mini/tests/string.test.ts,3,60,3,59,0,3,59,0,3,59,0,3,58,0,3,57,0,3,57,0
zod.z.email,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.guid,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.uuid,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.uuidv4,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.uuidv6,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.uuidv7,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.url,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.emoji,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,2,unmatched,unmatched
zod.z.nanoid,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.cuid,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.cuid2,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.ulid,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.ksuid,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.ipv4,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.ipv6,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.cidrv4,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.cidrv6,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.base64,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.base64url,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.e164,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.jwt,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.stringFormat,classic/tests/string-formats.test.ts,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
zod.z.number,classic/tests/number.test.ts; mini/tests/number.test.ts,3,34,3,34,0,3,34,0,3,34,0,3,34,0,3,32,0,3,32,0
zod.z.int,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.float32,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.float64,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.int32,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.uint32,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.boolean,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.bigint,classic/tests/bigint.test.ts,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
