Function,Dev files,LLM baseline,Dev baseline,v4.1.0 LLM survivors,v4.1.0 dev passed,v4.1.0 dev skipped,v4.2.0 LLM survivors,v4.2.0 dev passed,v4.2.0 dev skipped,v4.3.0 LLM survivors,v4.3.0 dev passed,v4.3.0 dev skipped,v4.4.0 LLM survivors,v4.4.0 dev passed,v4.4.0 dev skipped,v4.5.0 LLM survivors,v4.5.0 dev passed,v4.5.0 dev skipped,v4.6.0 LLM survivors,v4.6.0 dev passed,v4.6.0 dev skipped
zod.z.discriminatedUnion,classic/tests/discriminated-unions.test.ts,2,21,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0
zod.z.file,classic/tests/file.test.ts,1,2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
zod.z.nullish,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.readonly,classic/tests/readonly.test.ts,2,7,2,7,0,2,7,0,2,7,0,2,7,0,2,7,0,2,7,0
zod.z.map,classic/tests/map.test.ts,2,8,2,8,0,2,8,0,2,8,0,2,8,0,2,8,0,2,8,0
zod.z.cidrv4,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.cidrv6,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.strictObject,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.date,classic/tests/date.test.ts,2,3,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0
zod.z.base64,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.tuple,classic/tests/tuple.test.ts,1,6,1,4,0,1,4,0,1,4,0,1,4,0,1,4,0,1,4,0
zod.z.guid,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.nanoid,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.uuidv6,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.array,classic/tests/array.test.ts,1,9,1,9,0,1,9,0,1,9,0,1,9,0,1,8,0,1,8,0
zod.z.int64,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.any,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.ulid,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.nullable,classic/tests/nullable.test.ts,4,3,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0
zod.z.never,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.email,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.looseObject,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.symbol,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
